Framework,8,16,32,64,128,256
vertx,5379,6228,6923,7078,7266,7273
wicket,2085,4987,4961,5159,4895,4633
sinatra-ruby,738,700,652,672,664,655
sinatra-jruby,357,376,381,379,375,348
spring,2645,4439,4488,4582,4727,4426
tapestry,2301,3066,3224,3300,3326,3070
nodejs-mysql-raw,1218,1856,1946,2351,1964,2194
cake,198,153,144,143,143,143
gemini,6611,8602,8868,9155,8955,8998
django,199,248,192,392,397,442
compojure,3169,3727,3915,4119,4181,3926
express-mongodb,1337,2413,2642,2690,2213,2441
grails,1800,2386,2311,2139,1965,1817
express-mysql,763,975,1371,860,1177,975
nodejs-mongodb,1536,1893,3029,3096,3116,2970
php,539,544,537,530,519,499
nodejs-mysql,794,1003,891,1244,861,1437
play,1379,1542,1581,1595,1577,1592
php-raw,2673,2752,2754,2709,2648,2528
rails-jruby,591,601,591,578,569,541
rails-ruby,545,500,468,460,459,453
servlet-raw,4280,7902,8160,7916,7787,6588
flask,532,525,521,539,538,538
yesod,1854,1265,1203,1187,1193,1188
http-kit,3662,3611,3507,3655,3668,3635
rails-stripped-jruby,682,697,670,689,676,623
rails-stripped-ruby,653,585,528,531,529,527
django-stripped,429,380,470,430,494,571
