Framework,1,5,10,15,20
vertx,5875,1354,665,436,335
wicket,3058,1532,941,678,532
sinatra-ruby,669,350,189,134,107
sinatra-jruby,340,226,163,128,104
spring,2460,1433,894,649,510
tapestry,2831,1348,910,688,544
nodejs-mysql-raw,1553,431,207,137,116
cake,36,34,32,31,29
gemini,7344,2061,1288,878,663
django,456,202,121,90,69
compojure,3910,1133,598,410,310
express-mongodb,2713,782,324,193,167
grails,1981,1072,662,490,382
express-mysql,798,223,115,78,66
nodejs-mongodb,3052,608,311,203,251
php,146,125,106,92,82
nodejs-mysql,889,231,119,80,60
play,1591,542,304,210,159
php-raw,2625,1662,1146,788,601
rails-jruby,542,287,184,136,108
rails-ruby,485,272,154,112,89
servlet-raw,7695,2146,1180,804,614
