Framework,8,16,32,64,128,256
lithium,378,388,379,374,366,344
silex,386,386,382,377,369,364
phalcon,1911,1883,1851,1852,1828,1796
symfony2,190,187,184,185,182,185
spring,10199,10226,10650,10948,11012,10638
openresty,17385,23257,27488,30355,34329,35629
kohana-raw,406,408,402,394,386,385
laravel-raw,581,576,574,563,553,547
play1,1711,1743,1725,1755,1756,1633
play1siena,8146,8544,8952,9082,9129,8731
fuel,335,338,340,337,332,309
slim,683,685,665,653,639,632
dropwizard,11521,11505,11815,11803,11780,11108
micromvc,1683,1680,1664,1580,1557,1549
rails-stripped-ruby,1178,1189,1187,1167,1176,1176
bottle,8011,7770,8201,7940,8109,8051
wai,14556,16207,17696,18130,18834,19559
vertx,19245,24866,26879,27894,27783,27718
webgo,14379,13935,14509,14507,14639,14373
wicket,11690,12439,12757,13105,12951,12539
go,17793,23723,25236,25559,25451,25737
sinatra-ruby,688,923,928,923,926,932
sinatra-jruby,434,611,608,607,604,593
unfiltered,12847,17768,22510,25981,29448,32492
phreeze,546,545,519,524,493,485
finagle,17975,22653,25767,26387,26371,26232
lift-stateless,3529,4031,4736,5106,5290,5376
onion,23091,38818,46118,52401,41668,45408
wsgi,3260,3327,3384,3379,3373,3348
cowboy,13484,14270,14124,13937,14695,14629
snap,5933,6172,7462,7897,7363,7006
cake,241,230,227,224,219,212
gemini,19791,25203,25168,25853,25708,25240
django,1620,1586,1588,1582,1569,1572
compojure,11173,11724,12225,12512,12458,10662
express,7086,7423,7459,7427,7389,7374
grails,3621,4201,4361,4446,4471,4381
nodejs,10311,10696,10730,10768,10863,10727
servlet,20126,25053,25976,26974,26511,22951
play,3764,4078,4343,4520,4716,4765
kelp,1781,1837,1828,1822,1797,1840
dancer,1063,1050,1081,1061,1055,1064
ringojs-convinient,3430,4373,5217,5596,5784,5864
ringojs,4323,5150,5583,6287,6497,6580
spark,15368,19518,20987,21862,22389,18553
netty,19904,31150,35325,38705,40854,40266
kohana,507,508,506,504,500,477
mojolicious,754,759,755,750,737,754
rack-ruby,5472,6547,7327,7609,7812,7545
php,3877,3968,3966,3992,3978,3956
elli,9306,18213,18479,18535,18412,18496
grizzly-jersey,11661,12259,13045,13461,13828,14555
rack-jruby,4798,4663,4789,4858,4834,4635
laravel,358,355,354,343,333,322
rails-jruby,456,649,852,832,817,759
rails-ruby,942,956,943,929,941,938
django-stripped,3802,3998,3924,3896,3984,3974
play-scala,5944,7680,8649,8690,8940,9008
flask,3293,3344,3352,3347,3302,3298
tapestry,10663,10721,11118,11365,11200,10931
yesod,11213,11849,12205,12861,13116,14013
http-kit,12847,16063,17995,19509,20685,21807
rails-stripped-jruby,529,891,1006,1019,1007,975
tornado,2005,2099,2136,2147,2150,2125
scalatra,9067,9878,10326,10737,10193,9838
codeigniter,542,545,573,578,571,542
scalatra-raw,10380,10895,10962,11290,11280,10507
