Framework,8,16,32,64,128,256
openresty,17115,42955,66599,87400,94888,96122
kohana-raw,1763,2076,2194,2198,2183,2187
laravel-raw,1461,1653,1698,1685,1638,1576
codeigniter-raw,3009,3540,3730,3736,3680,3669
tornado-raw,4759,5234,5572,5739,5784,5708
play1,5523,6072,591,46,105,220
play1siena,9832,9716,9056,9031,9073,9027
fuel,1216,1394,1448,1453,1451,1438
slim,2741,3285,3501,3528,3518,3524
play-scala,9453,15886,19469,21606,22590,22655
vertx,12570,22012,22568,22965,23408,24015
wicket,15118,32929,41589,43369,42698,41321
go,3351,3267,3209,3095,2819,2652
sinatra-ruby,4162,4431,4418,4413,4406,4377
sinatra-jruby,511,499,482,477,460,428
spring,14963,29144,35921,36269,36157,34814
tapestry,8865,19104,28602,32149,32146,30793
finagle-future-pool,7333,12179,12720,12947,13120,13098
nodejs-mongodb-raw,12501,21658,25102,27613,28323,28924
finagle,7675,12613,13260,13379,13289,13333
lift-stateless,2614,3199,3351,3328,3321,3318
nodejs-mysql-raw,8852,11538,12531,12348,12618,12686
onion-raw,17561,29967,33432,34040,34159,34178
cowboy,11609,19290,24283,24601,24578,24422
snap,6648,5309,7577,8348,10275,5814
cake,1017,1137,1154,1152,1151,1140
gemini,18892,45522,75118,91515,101186,95908
django,2090,2364,2365,2464,2465,2462
compojure,11654,21633,27956,30540,29372,28114
express-mongodb,9117,12588,12735,14120,15448,15734
grails,9530,15110,17363,17171,15560,14577
express-mysql,3320,4939,6069,7229,8001,8163
nodejs-mongodb,9974,12788,15744,16792,17305,17890
play,4182,5707,6647,7286,7472,7330
php,2483,3590,3926,4012,4005,3946
nodejs-mysql,3404,4950,6060,7862,8420,8606
elli,12201,20105,26353,26692,26629,26501
php-raw,10019,21902,27086,27851,26749,27010
scalatra-raw,15587,33449,44575,46914,45873,43946
lithium,1195,1374,1406,1403,1403,1383
rails-jruby,2967,2931,2840,2681,2417,1959
rails-ruby,2782,2962,2924,2863,2807,2766
servlet-raw,17629,42148,63857,76231,80733,79605
symfony2,520,573,573,572,569,562
flask,2885,3372,3387,3346,3327,3320
phreeze,253,885,716,549,778,782
yesod,10266,23221,31060,33099,33022,31921
http-kit,14985,39232,56631,56581,56499,56319
rails-stripped-jruby,3444,3497,3372,3174,2826,2257
rails-stripped-ruby,3120,3311,3306,3307,3300,3299
django-stripped,2327,2839,2767,2970,2964,2959
unfiltered,10405,24366,30278,30260,30203,30208
silex-raw,1490,1731,1752,1751,1748,1739
